114,Longrow (Springbank),Campbeltown,55.425,-5.609
115,An Cnoc (Knockdhu),Speyside,57.563333,-2.759167
116,Yoichi,Japan,43.187222,140.791667
117,Cooley (unpeated),Ireland,53.863228,-6.541064
118,Cooley (peated),Ireland,53.863228,-6.541064
119,Yamazaki,Japan,34.893194,135.674556
120,Hakushu,Japan,35.826667,138.301667
121,Isle of Arran,Highland,55.699478,-5.280175
122,Croftengea (Loch Lomond),Highland,55.994294,-4.577289
123,Glengoyne,Highland,56.01403,-4.36378
124,Miyagikyo,Japan,38.308056,140.650556
125,Glenmorangie,Highland,57.825,-4.075
126,Hazelburn (Springbank),Campbeltown,55.425,-5.609
127,Port Charlotte (Bruichladdich),Islay,55.766359,-6.3625
128,Penderyn,Wales,51.764167,-3.521111
129,Kilchoman,Islay,55.786944,-6.430833
130,Chichibu,Japan,36.046556,139.054389
131,Hanyu,Japan,36.166667,139.55
132,Karuizawa,Japan,36.322778,138.506667
G1,North British,Grain,55.940128,-3.235603
G2,Carsebridge,Grain,56.183333,-3.05
G3,Caledonian,Grain,55.946261,-3.216867
G4,Cameronbridge,Grain,56.183333,-3.05
G5,Invergordon,Grain,57.693936,-4.156825
G6,Port Dundas,Grain,55.873297,-4.253047
G7,Girvan,Grain,55.2618,-4.8335
G8,Cambus,Grain,56.123685,-3.844224
G9,Loch Lomond,Grain,55.994294,-4.577289
G10,Strathclyde,Grain,55.8488,-4.241
